Test,Section,Question,Module1,Module2Easy,Module2Hard
SAT Practice 3,Reading and Writing,25,D,C,D
SAT Practice 3,Reading and Writing,26,D,B,B
SAT Practice 3,Reading and Writing,27,C,D,B
SAT Practice 3,Math,1,C,B,A
SAT Practice 3,Math,2,D,B,D
SAT Practice 3,Math,3,"0.2, 1/5",40,A
SAT Practice 3,Math,4,B,9,9
SAT Practice 3,Math,5,B,2,D
SAT Practice 3,Math,6,C,A,B
SAT Practice 3,Math,7,B,D,A
SAT Practice 3,Math,8,A,C,3
SAT Practice 3,Math,9,A,D,76
SAT Practice 3,Math,10,C,D,36504
SAT Practice 3,Math,11,24,70,C
SAT Practice 3,Math,12,D,D,C
SAT Practice 3,Math,13,C,D,B
SAT Practice 3,Math,14,80,A,D
SAT Practice 3,Math,15,7,B,4
SAT Practice 3,Math,16,A,A,182
SAT Practice 3,Math,17,27556,9,C
SAT Practice 3,Math,18,C,6,B
SAT Practice 3,Math,19,C,D,B
SAT Practice 3,Math,20,B,D,50
SAT Practice 3,Math,21,-3,B,A
SAT Practice 3,Math,22,C,A,B
SAT Practice 4,Reading and Writing,1,B,D,B
SAT Practice 4,Reading and Writing,2,B,D,B
SAT Practice 4,Reading and Writing,3,A,A,C
SAT Practice 4,Reading and Writing,4,B,A,C
SAT Practice 4,Reading and Writing,5,A,B,D
SAT Practice 4,Reading and Writing,6,D,C,A
SAT Practice 4,Reading and Writing,7,A,C,A
SAT Practice 4,Reading and Writing,8,A,A,C
SAT Practice 4,Reading and Writing,9,D,C,B
SAT Practice 4,Reading and Writing,10,B,A,C
SAT Practice 4,Reading and Writing,11,C,C,C
SAT Practice 4,Reading and Writing,12,B,A,D
SAT Practice 4,Reading and Writing,13,B,D,C
SAT Practice 4,Reading and Writing,14,D,A,B
SAT Practice 4,Reading and Writing,15,D,D,D
SAT Practice 4,Reading and Writing,16,B,C,A
SAT Practice 4,Reading and Writing,17,C,B,D
SAT Practice 4,Reading and Writing,18,A,A,D
SAT Practice 4,Reading and Writing,19,D,A,B
SAT Practice 4,Reading and Writing,20,D,D,A
SAT Practice 4,Reading and Writing,21,D,C,A
SAT Practice 4,Reading and Writing,22,C,D,C
SAT Practice 4,Reading and Writing,23,D,B,B
SAT Practice 4,Reading and Writing,24,A,D,C
SAT Practice 4,Reading and Writing,25,C,D,D
SAT Practice 4,Reading and Writing,26,D,A,A
SAT Practice 4,Reading and Writing,27,C,B,D
SAT Practice 4,Math,1,C,B,A
SAT Practice 4,Math,2,B,B,B
SAT Practice 4,Math,3,B,2520,B
SAT Practice 4,Math,4,A,40,C
SAT Practice 4,Math,5,C,7,D
SAT Practice 4,Math,6,5,30,C
SAT Practice 4,Math,7,D,180,C
SAT Practice 4,Math,8,A,C,C
SAT Practice 4,Math,9,28,A,A
SAT Practice 4,Math,10,C,D,C
SAT Practice 4,Math,11,11,D,"-14/15, -.9333, -0.933"
SAT Practice 4,Math,12,9,A,4.06
SAT Practice 4,Math,13,A,A,289
SAT Practice 4,Math,14,D,C,44
SAT Practice 4,Math,15,D,A,D
SAT Practice 4,Math,16,B,D,"29/2, 14.5"
SAT Practice 4,Math,17,C,D,C
SAT Practice 4,Math,18,C,C,C
SAT Practice 4,Math,19,D,D,A
SAT Practice 4,Math,20,B,C,10
SAT Practice 4,Math,21,B,D,B
SAT Practice 4,Math,22,"59/9, 6.555, 6.556",A,D
SAT Practice 5,Reading and Writing,1,A,C,B
SAT Practice 5,Reading and Writing,2,B,B,D
SAT Practice 5,Reading and Writing,3,B,D,B
SAT Practice 5,Reading and Writing,4,B,A,D
SAT Practice 5,Reading and Writing,5,D,D,D
SAT Practice 5,Reading and Writing,6,D,A,B
SAT Practice 5,Reading and Writing,7,A,B,B
SAT Practice 5,Reading and Writing,8,A,D,A
SAT Practice 5,Reading and Writing,9,D,C,C
SAT Practice 5,Reading and Writing,10,D,C,D
SAT Practice 5,Reading and Writing,11,C,C,C
SAT Practice 5,Reading and Writing,12,A,D,B
SAT Practice 5,Reading and Writing,13,D,C,D
SAT Practice 5,Reading and Writing,14,A,D,D
SAT Practice 5,Reading and Writing,15,C,A,A
SAT Practice 5,Reading and Writing,16,D,A,A
SAT Practice 5,Reading and Writing,17,C,C,D
SAT Practice 5,Reading and Writing,18,B,C,C
SAT Practice 5,Reading and Writing,19,A,D,C
SAT Practice 5,Reading and Writing,20,C,A,A
SAT Practice 5,Reading and Writing,21,D,D,D
SAT Practice 5,Reading and Writing,22,B,D,C
SAT Practice 5,Reading and Writing,23,D,D,B
SAT Practice 5,Reading and Writing,24,B,B,D
SAT Practice 5,Reading and Writing,25,C,D,D
SAT Practice 5,Reading and Writing,26,B,D,B
SAT Practice 5,Reading and Writing,27,C,B,C
SAT Practice 5,Math,1,D,B,B
SAT Practice 5,Math,2,A,C,B
SAT Practice 5,Math,3,C,B,B
SAT Practice 5,Math,4,11,B,A
SAT Practice 5,Math,5,C,A,C
SAT Practice 5,Math,6,10,6,29
SAT Practice 5,Math,7,A,B,D
SAT Practice 5,Math,8,D,B,D
SAT Practice 5,Math,9,B,A,A
SAT Practice 5,Math,10,D,29,-10
SAT Practice 5,Math,11,"30, -30",4,A
SAT Practice 5,Math,12,4.51,".5, 1/2",D
SAT Practice 5,Math,13,A,D,D
SAT Practice 5,Math,14,D,D,A
SAT Practice 5,Math,15,D,D,10
SAT Practice 5,Math,16,4205,"7.5, 15/2",-24
SAT Practice 5,Math,17,18,A,A
SAT Practice 5,Math,18,A,6,480
SAT Practice 5,Math,19,D,B,A
SAT Practice 5,Math,20,B,A,A
SAT Practice 5,Math,21,D,A,4176
SAT Practice 5,Math,22,D,B,A
SAT Practice 6,Reading and Writing,1,D,A,A
SAT Practice 6,Reading and Writing,2,D,C,B
SAT Practice 6,Reading and Writing,3,D,C,B
SAT Practice 6,Reading and Writing,4,B,A,D
SAT Practice 6,Reading and Writing,5,C,C,A
SAT Practice 6,Reading and Writing,6,C,C,C
SAT Practice 6,Reading and Writing,7,B,A,D
SAT Practice 6,Reading and Writing,8,B,D,C
SAT Practice 6,Reading and Writing,9,A,D,C
SAT Practice 6,Reading and Writing,10,B,A,D
SAT Practice 6,Reading and Writing,11,C,D,D
SAT Practice 6,Reading and Writing,12,B,A,D
SAT Practice 6,Reading and Writing,13,B,D,B
SAT Practice 6,Reading and Writing,14,A,A,A
SAT Practice 6,Reading and Writing,15,B,A,A
SAT Practice 6,Reading and Writing,16,B,A,B
SAT Practice 6,Reading and Writing,17,D,A,B
SAT Practice 6,Reading and Writing,18,B,D,B
SAT Practice 6,Reading and Writing,19,B,B,C
SAT Practice 6,Reading and Writing,20,D,C,B
SAT Practice 6,Reading and Writing,21,A,C,D
SAT Practice 6,Reading and Writing,22,D,C,B
SAT Practice 6,Reading and Writing,23,D,C,B
SAT Practice 6,Reading and Writing,24,D,D,B
SAT Practice 6,Reading and Writing,25,C,B,A
SAT Practice 6,Reading and Writing,26,A,D,D
SAT Practice 6,Reading and Writing,27,C,B,C
SAT Practice 6,Math,1,A,B,B
SAT Practice 6,Math,2,D,B,A
SAT Practice 6,Math,3,B,B,A
SAT Practice 6,Math,4,B,A,3
SAT Practice 6,Math,5,B,A,D
SAT Practice 6,Math,6,A,3,B
SAT Practice 6,Math,7,A,B,D
SAT Practice 6,Math,8,C,D,A
SAT Practice 6,Math,9,B,6,D
SAT Practice 6,Math,10,18,D,"189/5, 37.8"
SAT Practice 6,Math,11,B,C,D
SAT Practice 6,Math,12,C,D,1677
SAT Practice 6,Math,13,D,C,1728
SAT Practice 6,Math,14,4,20,B
SAT Practice 6,Math,15,D,D,25
SAT Practice 6,Math,16,A,774,C
SAT Practice 6,Math,17,"11/28, .3928, .3929",D,66
SAT Practice 6,Math,18,C,C,D
SAT Practice 6,Math,19,54,"44/3, 7.666, 7.667","3.5, 7/2"
SAT Practice 6,Math,20,336,66,A
SAT Practice 6,Math,21,79,D,D
SAT Practice 6,Math,22,A,C,A
SAT Practice 7,Reading and Writing,1,D,A,B
SAT Practice 7,Reading and Writing,2,D,C,D
SAT Practice 7,Reading and Writing,3,D,D,A
SAT Practice 7,Reading and Writing,4,B,C,D
SAT Practice 7,Reading and Writing,5,A,A,C
SAT Practice 7,Reading and Writing,6,B,C,B
SAT Practice 7,Reading and Writing,7,D,A,D
SAT Practice 7,Reading and Writing,8,D,B,D
SAT Practice 7,Reading and Writing,9,A,D,B
SAT Practice 7,Reading and Writing,10,B,C,A
SAT Practice 7,Reading and Writing,11,B,C,B
SAT Practice 7,Reading and Writing,12,A,D,D
SAT Practice 7,Reading and Writing,13,C,C,C
SAT Practice 7,Reading and Writing,14,A,B,B
SAT Practice 7,Reading and Writing,15,C,A,C
SAT Practice 7,Reading and Writing,16,B,D,B
SAT Practice 7,Reading and Writing,17,C,D,C
SAT Practice 7,Reading and Writing,18,C,A,D
SAT Practice 7,Reading and Writing,19,D,B,A
SAT Practice 7,Reading and Writing,20,C,D,B
SAT Practice 7,Reading and Writing,21,B,C,D
SAT Practice 7,Reading and Writing,22,A,B,A
SAT Practice 7,Reading and Writing,23,B,A,D
SAT Practice 7,Reading and Writing,24,D,D,D
SAT Practice 7,Reading and Writing,25,B,D,C
SAT Practice 7,Reading and Writing,26,D,C,D
SAT Practice 7,Reading and Writing,27,C,C,A
SAT Practice 7,Math,1,A,A,D
SAT Practice 7,Math,2,C,B,D
SAT Practice 7,Math,3,A,B,110
SAT Practice 7,Math,4,B,B,D
SAT Practice 7,Math,5,B,D,C
SAT Practice 7,Math,6,B,C,A
SAT Practice 7,Math,7,90,A,A
SAT Practice 7,Math,8,D,C,42
SAT Practice 7,Math,9,C,B,C
SAT Practice 7,Math,10,D,162,C
SAT Practice 7,Math,11,"14, -5, -4",C,B
SAT Practice 7,Math,12,"11/4, 2.75",D,153
SAT Practice 7,Math,13,A,2850,A
SAT Practice 7,Math,14,4.41,27,".2857, 2/7"
SAT Practice 7,Math,15,5,C,B
SAT Practice 7,Math,16,D,A,"17.5, 35/2"
SAT Practice 7,Math,17,B,9,D
SAT Practice 7,Math,18,11,D,A
SAT Practice 7,Math,19,A,D,D
SAT Practice 7,Math,20,120,D,D
SAT Practice 7,Math,21,A,C,A
SAT Practice 7,Math,22,C,87,B
SAT Practice 8,Reading and Writing,1,B,C,D
SAT Practice 8,Reading and Writing,2,B,D,B
SAT Practice 8,Reading and Writing,3,C,B,B
SAT Practice 8,Reading and Writing,4,C,A,A
SAT Practice 8,Reading and Writing,5,A,A,D
SAT Practice 8,Reading and Writing,6,C,C,C
SAT Practice 8,Reading and Writing,7,A,A,D
SAT Practice 8,Reading and Writing,8,D,B,A
SAT Practice 8,Reading and Writing,9,A,D,C
SAT Practice 8,Reading and Writing,10,C,A,C
SAT Practice 8,Reading and Writing,11,C,B,D
SAT Practice 8,Reading and Writing,12,D,C,C
SAT Practice 8,Reading and Writing,13,D,A,B
SAT Practice 8,Reading and Writing,14,B,C,D
SAT Practice 8,Reading and Writing,15,D,D,C
SAT Practice 8,Reading and Writing,16,B,D,A
SAT Practice 8,Reading and Writing,17,B,A,C
SAT Practice 8,Reading and Writing,18,C,C,A
SAT Practice 8,Reading and Writing,19,C,B,C
SAT Practice 8,Reading and Writing,20,A,A,B
SAT Practice 8,Reading and Writing,21,B,D,B
SAT Practice 8,Reading and Writing,22,C,D,B
SAT Practice 8,Reading and Writing,23,B,D,A
SAT Practice 8,Reading and Writing,24,A,C,C
SAT Practice 8,Reading and Writing,25,D,B,D
SAT Practice 8,Reading and Writing,26,D,C,B
SAT Practice 8,Reading and Writing,27,C,B,A
SAT Practice 8,Math,1,D,C,C
SAT Practice 8,Math,2,D,D,C
SAT Practice 8,Math,3,D,B,A
SAT Practice 8,Math,4,D,C,B
SAT Practice 8,Math,5,B,D,B
SAT Practice 8,Math,6,A,D,D
SAT Practice 8,Math,7,C,B,B
SAT Practice 8,Math,8,B,A,C
SAT Practice 8,Math,9,46,D,35
SAT Practice 8,Math,10,D,70,A
SAT Practice 8,Math,11,A,9,"29/3, 9.666, 9.667"
SAT Practice 8,Math,12,52,A,C
SAT Practice 8,Math,13,410,B,B
SAT Practice 8,Math,14,C,B,C
SAT Practice 8,Math,15,5,C,338
SAT Practice 8,Math,16,B,25,"1.8, 9/5"
SAT Practice 8,Math,17,A,"2, -12",C
SAT Practice 8,Math,18,D,A,-34
SAT Practice 8,Math,19,"1/4, 0.25",104,D
SAT Practice 8,Math,20,B,B,104
SAT Practice 8,Math,21,C,6,B
SAT Practice 8,Math,22,A,C,B
SAT Practice 9,Reading and Writing,1,A,B,D
SAT Practice 9,Reading and Writing,2,C,D,D
SAT Practice 9,Reading and Writing,3,D,B,C
SAT Practice 9,Reading and Writing,4,B,B,A
SAT Practice 9,Reading and Writing,5,D,D,B
SAT Practice 9,Reading and Writing,6,D,A,A
SAT Practice 9,Reading and Writing,7,B,C,D
SAT Practice 9,Reading and Writing,8,A,C,C
SAT Practice 9,Reading and Writing,9,D,B,B
SAT Practice 9,Reading and Writing,10,C,D,A
SAT Practice 9,Reading and Writing,11,C,D,B
SAT Practice 9,Reading and Writing,12,D,A,C
SAT Practice 9,Reading and Writing,13,D,A,B
SAT Practice 9,Reading and Writing,14,A,B,A
SAT Practice 9,Reading and Writing,15,D,A,C
SAT Practice 9,Reading and Writing,16,B,C,D
SAT Practice 9,Reading and Writing,17,D,A,A
SAT Practice 9,Reading and Writing,18,A,A,D
SAT Practice 9,Reading and Writing,19,D,C,A
SAT Practice 9,Reading and Writing,20,A,B,B
SAT Practice 9,Reading and Writing,21,D,C,D
SAT Practice 9,Reading and Writing,22,A,A,C
SAT Practice 9,Reading and Writing,23,A,B,D
SAT Practice 9,Reading and Writing,24,C,B,D
SAT Practice 9,Reading and Writing,25,C,B,B
SAT Practice 9,Reading and Writing,26,A,A,C
SAT Practice 9,Reading and Writing,27,C,C,A
SAT Practice 9,Math,1,D,B,79
SAT Practice 9,Math,2,C,C,B
SAT Practice 9,Math,3,A,B,B
SAT Practice 9,Math,4,C,3,C
SAT Practice 9,Math,5,C,A,D
SAT Practice 9,Math,6,224,B,A
SAT Practice 9,Math,7,B,240,B
SAT Practice 9,Math,8,1,B,D
SAT Practice 9,Math,9,14,A,46
SAT Practice 9,Math,10,D,9,B
SAT Practice 9,Math,11,D,C,113
SAT Practice 9,Math,12,B,D,D
SAT Practice 9,Math,13,D,986,D
SAT Practice 9,Math,14,A,45,33
SAT Practice 9,Math,15,B,B,C
SAT Practice 9,Math,16,76,D,B
SAT Practice 9,Math,17,35,D,C
SAT Practice 9,Math,18,D,B,D
SAT Practice 9,Math,19,D,C,C
SAT Practice 9,Math,20,-3,C,168
SAT Practice 9,Math,21,C,D,A
SAT Practice 9,Math,22,B,C,B
SAT Practice 10,Reading and Writing,1,A,A,D
SAT Practice 10,Reading and Writing,2,C,D,C
SAT Practice 10,Reading and Writing,3,C,B,C
SAT Practice 10,Reading and Writing,4,A,A,A
SAT Practice 10,Reading and Writing,5,B,D,A
SAT Practice 10,Reading and Writing,6,B,C,D
SAT Practice 10,Reading and Writing,7,A,D,B
SAT Practice 10,Reading and Writing,8,C,A,D
SAT Practice 10,Reading and Writing,9,A,A,A
SAT Practice 10,Reading and Writing,10,D,D,C
SAT Practice 10,Reading and Writing,11,A,A,C
SAT Practice 10,Reading and Writing,12,B,B,A
SAT Practice 10,Reading and Writing,13,B,A,C
SAT Practice 10,Reading and Writing,14,A,A,C
SAT Practice 10,Reading and Writing,15,D,C,A
SAT Practice 10,Reading and Writing,16,C,A,C
SAT Practice 10,Reading and Writing,17,D,B,C
SAT Practice 10,Reading and Writing,18,C,C,C
SAT Practice 10,Reading and Writing,19,C,C,C
SAT Practice 10,Reading and Writing,20,B,A,A
SAT Practice 10,Reading and Writing,21,A,A,A
SAT Practice 10,Reading and Writing,22,D,A,D
SAT Practice 10,Reading and Writing,23,D,B,C
SAT Practice 10,Reading and Writing,24,A,A,D
SAT Practice 10,Reading and Writing,25,C,B,B
SAT Practice 10,Reading and Writing,26,A,B,B
SAT Practice 10,Reading and Writing,27,C,C,D
SAT Practice 10,Math,1,C,40,B
SAT Practice 10,Math,2,D,C,B
SAT Practice 10,Math,3,C,A,C
SAT Practice 10,Math,4,A,C,B
SAT Practice 10,Math,5,D,39000,67
SAT Practice 10,Math,6,D,2,B
SAT Practice 10,Math,7,77,B,D
SAT Practice 10,Math,8,B,D,A
SAT Practice 10,Math,9,D,B,B
SAT Practice 10,Math,10,24,A,36504
SAT Practice 10,Math,11,D,A,3
SAT Practice 10,Math,12,C,D,D
SAT Practice 10,Math,13,D,D,C
SAT Practice 10,Math,14,7,D,182
SAT Practice 10,Math,15,27556,41,A
SAT Practice 10,Math,16,25,D,C
SAT Practice 10,Math,17,A,A,B
SAT Practice 10,Math,18,D,B,C
SAT Practice 10,Math,19,A,B,C
SAT Practice 10,Math,20,D,D,50
SAT Practice 10,Math,21,B,11875,B
SAT Practice 10,Math,22,D,C,A
SAT Practice 11,Reading and Writing,1,C,C,D
SAT Practice 11,Reading and Writing,2,D,D,B
SAT Practice 11,Reading and Writing,3,B,D,B
SAT Practice 11,Reading and Writing,4,A,D,B
SAT Practice 11,Reading and Writing,5,B,B,B
SAT Practice 11,Reading and Writing,6,D,A,C
SAT Practice 11,Reading and Writing,7,D,B,B
SAT Practice 11,Reading and Writing,8,D,C,A
SAT Practice 11,Reading and Writing,9,B,D,D
SAT Practice 11,Reading and Writing,10,D,C,C
SAT Practice 11,Reading and Writing,11,B,B,A
SAT Practice 11,Reading and Writing,12,A,C,B
SAT Practice 11,Reading and Writing,13,A,A,A
SAT Practice 11,Reading and Writing,14,D,C,A
SAT Practice 11,Reading and Writing,15,B,C,A
SAT Practice 11,Reading and Writing,16,A,D,B
SAT Practice 11,Reading and Writing,17,B,D,A
SAT Practice 11,Reading and Writing,18,B,A,A
SAT Practice 11,Reading and Writing,19,B,B,A
SAT Practice 11,Reading and Writing,20,B,B,D
SAT Practice 11,Reading and Writing,21,C,B,B
SAT Practice 11,Reading and Writing,22,D,D,A
SAT Practice 11,Reading and Writing,23,B,D,B
SAT Practice 11,Reading and Writing,24,C,B,D
SAT Practice 11,Reading and Writing,25,C,C,D
SAT Practice 11,Reading and Writing,26,A,A,B
SAT Practice 11,Reading and Writing,27,C,A,A
SAT Practice 11,Math,1,A,4,B
SAT Practice 11,Math,2,A,A,30
SAT Practice 11,Math,3,8,B,A
SAT Practice 11,Math,4,13,A,C
SAT Practice 11,Math,5,B,8.6,B
SAT Practice 11,Math,6,C,75,D
SAT Practice 11,Math,7,63,C,100
SAT Practice 11,Math,8,C,A,A
SAT Practice 11,Math,9,C,A,29
SAT Practice 11,Math,10,A,B,A
SAT Practice 11,Math,11,A,D,D
SAT Practice 11,Math,12,A,A,A
SAT Practice 11,Math,13,C,C,B
SAT Practice 11,Math,14,D,3600,C
SAT Practice 11,Math,15,15000,A,41/81
SAT Practice 11,Math,16,A,D,1
SAT Practice 11,Math,17,B,45,1
SAT Practice 11,Math,18,B,A,1
SAT Practice 11,Math,19,A,B,C
SAT Practice 11,Math,20,D,C,B
SAT Practice 11,Math,21,3331,B,D
SAT Practice 11,Math,22,B,B,60000
